date,router_signal_as_of_date,active_pair,portfolio_regime,regime_confidence,regime_reason,decision_action,decision_pair,decision_reason,decision_error,selection_ai_success,switch_executed,switch_penalty_applied,switch_cost_tracked,switch_penalty_return_applied,switch_review_action,switch_review_reason,switch_review_error,switch_review_ai_success,regime_changed,previous_portfolio_regime,cooldown_active,hold_gate_active,active_hold_days,cooldown_ranks,cooldown_poor_flags,cooldown_all_poor,initial_hold_active,active_regime_rank,active_overall_recent_rank,raw_returns_with_rf,router_vol_overlay_leverage,returns_with_rf,equity_curve_with_rf,active_obs,active_trailing_return,active_recent_return_20d,active_recent_return_40d,active_recent_momentum_improving,active_annualized_return,active_rolling_sharpe,active_drawdown,active_cvar_5,active_realized_vol,active_vol_tracking_error,active_turnover,active_drawdown_consistency_score,active_drawdown_consistency_mean_abs,active_drawdown_consistency_std_abs,active_drawdown_consistency_target_gap,active_max_abs_drawdown,active_max_drawdown_target_gap,active_max_drawdown_excess_over_target,active_risk_on_score,active_balanced_score,active_defensive_score,bh_equity
2024-02-09,2024-02-08,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,switch,pca_covariance__hysteresis_portfolio,,,True,True,0.0,0.0,False,switch,,,True,False,,False,False,1,"{""10"": 18, ""20"": 16, ""60"": 18}","{""10"": true, ""20"": true, ""60"": true}",True,False,15.0,1,-0.0003711660528945,1.0,-0.0003711660528945,999.6289028207034,63,0.051774017334763,0.0082082191288038,0.0276330614720123,False,0.2070960693390523,2.198787398770313,-0.0307253687296229,-0.0087735327610227,0.0941864909062478,-0.0058135090937522,0.0375116192207861,-0.046258052208711,0.0285548195555777,0.0148128717642887,0.0314451804444222,0.0519339028580169,0.008066097141983,0.0,,,,1000.4644416450424
2024-02-12,2024-02-09,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 1/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 1/10,,False,False,,False,False,2,{},{},,False,15.0,1,0.0004886344828592,1.0,0.0004886344828592,1000.1174753296508,63,0.0587117485877341,0.0156537042091611,0.0419827855568723,False,0.2348469943509364,2.831461460219469,-0.0215690423740291,-0.006909787283854,0.082941971010523,-0.0170580289894769,0.004449188783086,-0.0537586132579274,0.0271500775867912,0.0201577504224997,0.0336008628354276,0.0615018808444378,0.0015018808444378,0.0015018808444378,-2.5315036508956954,-2.5315036508956954,-2.523954486064785,1001.3380491535988
2024-02-13,2024-02-12,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 2/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 2/10,,False,False,,False,False,3,{},{},,False,15.0,1,-0.0106786122578217,1.0,-0.0106786122578217,989.4944292411686,63,0.0656066373421946,0.0107347160685282,0.0239109219776369,False,0.2624265493687786,3.2160908107095754,-0.0215690423740292,-0.006909787283854,0.0815979911061276,-0.0184020088938724,0.004449188783086,-0.0527530933672401,0.026158716789313,0.0189118101565532,0.0338412832106869,0.0582668078876669,0.001733192112333,0.0,-2.8687914761448554,-2.8687914761448554,-2.861242311313945,992.9933964444742
2024-02-14,2024-02-13,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 3/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 3/10,,False,False,,False,False,4,{},{},,False,15.0,1,0.0004910769725275,1.0,0.0004910769725275,989.9804665008986,63,0.0502655807172644,0.0065535155460781,0.0030054751686412,True,0.2010623228690577,2.3781375015372213,-0.0215690423740292,-0.0079550874144666,0.0845461302128626,-0.0154538697871373,0.004449188783086,-0.0498204543166424,0.0235217073776919,0.0133421616943343,0.036478292622308,0.0458823361870091,0.0141176638129909,0.0,-2.1317118133610835,-2.1317118133610835,-2.1241626485301732,992.7698875353308
2024-02-15,2024-02-14,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 4/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 4/10,,False,False,,False,False,5,{},{},,False,15.0,1,0.0067885799037438,1.0,0.0067885799037438,996.7238912422883,63,0.0488450331241235,0.0137640183328973,0.0046530580598963,True,0.1953801324964943,2.3117039354139512,-0.0215690423740293,-0.0079550874144666,0.084517800702497,-0.0154821992975029,0.004449188783086,-0.0498204543166423,0.0235217073776919,0.0133421616943342,0.036478292622308,0.0458823361870089,0.014117663812991,0.0,-2.0718291618091937,-2.0718291618091937,-2.0642799969782835,1000.3607472103166
2024-02-16,2024-02-15,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 5/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 5/10,,False,False,,False,False,6,{},{},,False,15.0,1,-0.002029652358986,1.0,-0.002029652358986,994.7029398533216,63,0.0449110396046133,0.0158265345257146,0.0087931207267141,True,0.1796441584184534,2.1646930555819104,-0.0215690423740292,-0.0079550874144666,0.082988282313384,-0.0170117176866159,0.004449188783086,-0.0502443250650446,0.0215978976185304,0.0118422226835751,0.0384021023814695,0.0408830243360013,0.0191169756639986,0.0,-1.933718327817031,-1.933718327817031,-1.9261691629861208,998.9425318898363
2024-02-20,2024-02-16,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 6/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 6/10,,False,False,,False,False,7,{},{},,False,15.0,1,-0.0018815500657506,1.0,-0.0018815500657506,992.8331161065688,63,0.0468786113030767,0.0097558096159967,0.0012872639700958,True,0.1875144452123068,2.269411546836615,-0.0215690423740292,-0.0079550874144666,0.0826269018828636,-0.0173730981171363,0.004449188783086,-0.0492855826788469,0.0199957025638914,0.0092812852427384,0.0400042974361085,0.0344742441174453,0.0255257558825546,0.0,-2.0261876038831796,-2.0261876038831796,-2.01863843905227,996.5133558633872
2024-02-21,2024-02-20,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 7/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 7/10,,False,False,,False,False,8,{},{},,False,15.0,1,-0.0001177460974046,1.0,-0.0001177460974046,992.7162207638934,63,0.045786009890166,0.00458346996126,0.0038981634208751,True,0.1831440395606642,2.213538842696257,-0.0215690423740292,-0.0079550874144666,0.0827381187210525,-0.0172618812789474,0.0028395092782621,-0.0491510487375145,0.0197520788160025,0.0089031275535171,0.0402479211839974,0.0334997491258897,0.0265002508741102,0.0,-1.9766279417497448,-1.9766279417497448,-1.969078776918835,997.7928092386654
2024-02-22,2024-02-21,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 8/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 8/10,,False,False,,False,False,9,{},{},,False,15.0,1,0.006044871157585,1.0,0.006044871157585,998.7352361726516,63,0.0424897747639167,0.0031357548213171,0.0027781621441134,True,0.1699590990556669,2.0575253758048135,-0.0215690423740291,-0.0079550874144666,0.0826036466204876,-0.0173963533795123,0.0028395092782621,-0.0488966493335055,0.0192683308473826,0.0081649801808881,0.0407316691526173,0.0315647572514098,0.0284352427485901,0.0,-1.8362804968873176,-1.8362804968873176,-1.8287313320564071,1002.3127690280209
2024-02-23,2024-02-22,pca_covariance__hysteresis_portfolio,risk_on,0.0,Deterministic volatility input fallback,hold,pca_covariance__hysteresis_portfolio,Switch review interval hold 9/10,,False,False,0.0,0.0,False,hold,Switch review interval hold 9/10,,False,False,,False,False,10,{},{},,False,15.0,1,0.0006530384927076,1.0,0.0006530384927076,999.3876617322117,63,0.0434519196878865,0.013607631958589,0.008496176997054,True,0.1738076787515461,2.098253890174054,-0.0215690423740292,-0.0079550874144666,0.0828344365595949,-0.017165563440405,0.0028395092782621,-0.0483797221259152,0.0180907697692307,0.0064704918951459,0.0419092302307692,0.0268545129388024,0.0331454870611975,0.0,-1.8736388687259535,-1.8736388687259535,-1.8660897038950437,1000.6120560689988
